Date,ecsa trip spore/jpn (from recalada),usg trip spore/jpn rge (Handy),cont trip spore/jpn rge (Handy),usg trip cont(arag rge) (Handy),canakkale trip pmo/india (basis 30 day coal wci) (Handy),ecsa trip spore/jpn (smax from santos),usg trip spore/jpn rge (Smax),cont trip spore/jpn rge (Smax),usg trip cont(arag rge) (Smax),canakkale trip pmo/india (basis 30 day coal wci) (Smax),Cape Avg 5TC,Pmx Avg 5TC,Pmx Avg 4TC,Smx Avg 11TC,Smx Avg 10TC,Handysize Avg 7TC
2018-01-04,,,,,,13.75,23.0,18.0,20.5,16.0,19.2995,11.9527,10.944,,10.113,
2018-01-11,,,,,,13.5,25.0,20.0,22.5,16.0,17.8535,12.092450000000001,10.994,,10.373,
2018-01-18,,,,,,13.5,25.0,18.75,22.5,17.0,12.3115,11.7578,10.51725,,10.466,
2018-01-25,,,,,,13.5,23.0,18.0,20.5,17.0,13.936,13.28515,11.87125,,10.335,
2018-02-01,,,,,,13.25,22.0,17.5,18.0,17.5,11.791129999999999,12.30995,11.04625,,9.978,
2018-02-08,,,,,,13.0,19.0,17.5,15.0,17.0,13.20825,11.2655,10.13425,,9.485,
2018-02-15,,,,,,13.0,22.5,17.5,16.0,17.5,12.82838,11.244200000000001,10.04325,,9.536,
2018-02-22,,,,,,14.0,23.5,19.5,17.5,18.5,13.512129999999999,13.0257,11.529,,10.008,
2018-03-01,16.5,17.0,16.0,14.75,16.0,13.5,24.5,20.0,18.0,20.5,12.3945,13.502450000000001,12.07375,,11.265,10.183399999999999
2018-03-08,16.0,17.0,16.0,14.75,16.0,13.5,24.5,20.0,18.0,20.5,11.6685,14.28125,12.7625,,11.589,10.67738
2018-03-15,19.0,17.5,16.5,15.25,15.0,14.25,25.5,21.0,19.5,20.0,9.8685,14.581,12.995,,12.178,11.07985
2018-03-22,18.25,16.5,16.5,14.5,15.0,15.0,23.0,21.0,18.0,19.0,8.87975,14.4601,12.7965,,12.599,11.31822
2018-04-05,18.75,16.0,15.5,13.25,14.5,14.25,21.5,19.5,16.0,19.0,7.0505,12.3926,10.7765,,11.588,11.35625
2018-04-12,17.75,14.5,15.75,11.0,14.5,13.75,20.0,19.75,15.0,18.0,8.36188,12.38265,10.72175,,11.233,10.98785
2018-04-19,16.75,14.5,15.75,11.0,14.25,13.75,22.0,20.25,16.0,18.5,13.66513,12.146049999999999,10.485,,11.312,10.79463
2018-04-27,15.75,14.0,15.0,10.0,14.0,13.525,22.0,20.5,16.5,18.0,17.71313,11.79755,10.24975,,11.507,10.44603
2018-05-04,15.0,13.0,14.5,9.5,14.0,13.25,20.5,20.5,15.0,17.5,18.30825,11.69585,10.1755,,11.543,10.1184
2018-05-11,15.0,13.5,14.5,10.0,13.5,13.0,18.0,18.0,13.0,17.25,20.68438,11.506,10.0335,,11.462,10.06703
2018-05-17,14.0,13.0,14.0,10.0,13.5,12.75,17.0,17.0,12.0,17.0,16.511,11.353950000000001,9.99275,,11.478,10.15358
2018-05-24,14.0,12.5,14.0,9.75,13.0,12.75,18.0,17.0,12.5,16.0,11.8475,11.028450000000001,9.692450000000001,,11.461,10.117700000000001
2018-05-31,14.0,12.5,14.0,9.75,13.0,13.25,18.0,17.0,12.5,16.0,11.7225,10.719,9.34775,,11.353,10.05983
2018-06-07,14.0,12.0,14.0,9.0,13.0,13.75,21.0,17.0,15.5,15.0,18.13438,12.3101,10.806,,11.521,10.131879999999999
2018-06-14,16.5,13.5,14.5,11.25,13.0,13.75,22.0,18.0,17.0,15.0,17.97625,13.4575,12.03025,,11.783,10.31985
2018-06-21,16.5,14.0,14.0,11.0,13.5,13.75,21.0,17.5,17.0,16.0,16.45925,12.42665,11.11225,,11.858,10.400049999999998
2018-06-28,15.0,14.0,14.0,11.0,12.5,13.25,18.5,17.5,15.0,15.75,16.64825,12.015450000000001,10.6955,,11.418,10.207600000000001
2018-07-05,15.5,14.0,14.0,10.5,12.0,13.35,20.0,17.0,16.0,17.0,24.04463,12.032350000000001,10.75625,,10.931,9.8762
2018-07-12,16.75,14.0,14.0,11.25,12.0,13.5,20.0,19.5,16.0,20.0,23.51425,13.24655,12.154,,10.907,9.75535
2018-07-19,16.5,14.0,14.0,11.5,14.0,13.5,20.25,19.75,16.0,21.0,23.827,13.346950000000001,12.30675,,11.155,9.917629999999999
2018-07-27,15.0,14.0,14.0,10.5,15.0,13.75,20.5,19.75,16.5,21.0,23.82425,13.71795,12.69475,,11.404,9.823049999999999
2018-08-02,15.0,13.0,13.0,10.0,15.0,13.75,20.0,18.5,16.0,22.0,26.42325,12.95585,11.928,,11.378,9.57525
2018-08-10,16.0,13.5,13.5,9.25,16.0,13.75,22.0,19.5,18.5,22.5,25.621,11.841,10.724,,11.494,9.44733
